Appliances Current Profile of single day,,,
Air Conditioner,Electric Kettle,Electric Iron,Water Dispensor
-0.194105795,-0.040621359,0.039526398,0.161409897
-0.059698161,-0.018929319,-0.109960127,0.13222825
-0.169605584,-0.1532979,-0.181994193,0.077096113
0.03497135,-0.364917615,-0.373956789,-0.111322778
0.128242374,0.421051976,-0.037095301,0.229327584
-0.012653211,-0.015550335,-0.193639852,-0.095704557
-0.060563351,-0.22883793,0.54294373,0.006569782
-0.031524477,-0.198098387,-0.040211247,0.091771424
-0.217650443,0.145449947,0.322857391,-1.95E-05
0.090068755,0.060723834,-0.004818564,0.031165864
-0.143301383,0.161249943,-0.229831366,0.076197926
-0.184993506,0.221981171,-0.240063496,0.024716257
0.020518817,0.337739064,0.227714479,-0.251324663
0.143067081,0.128537437,-0.058435031,0.004905922
0.056772339,-0.273992939,-0.032845243,0.003413744
-0.024141852,0.28602076,0.180749319,-0.00050364
0.153944269,-0.196210096,-0.129360615,0.139306925
0.1693415,-0.129404996,0.005567704,0.07201418
-0.059247494,-0.140558936,-0.230125452,0.059071264
-0.171010259,-0.198414258,0.369018267,0.094792139
-0.190056856,0.211166209,-0.834692698,0.032203625
-0.101846752,-0.16043576,-0.243234328,0.142540915
-0.092400693,-0.083009437,0.075212608,-0.00461704
-0.070103761,0.187383704,-0.230421783,-0.127126655
-0.062392473,-0.006329241,-0.177433942,0.064019563
0.100258467,-0.104833419,-0.053810027,-0.088009651
-0.201500268,-0.434971692,0.210718109,0.069563096
-0.04959899,-0.129172326,0.010369188,0.09862051
-0.041263916,-0.382166026,0.265554742,-0.073313328
0.128379974,0.147205064,0.150399492,0.072363259
0.046918911,0.094889857,-0.173035234,0.05353327
0.04310491,0.043186099,0.183477091,0.000641836
-0.089368156,-0.370475133,-0.089762384,-0.02041973
0.114843252,0.005555093,-0.06893039,-0.028078612
0.142980923,0.092485118,-0.043989778,-0.011005295
-0.057676667,0.229013917,-0.105952085,0.044942067
0.134463398,-0.063515381,0.127607515,-0.067394781
-0.105217747,0.304659021,0.014276462,0.036807308
0.062758375,-0.295507067,-0.481879618,0.117719709
-0.01649735,0.252964123,-0.164639974,0.007225407
0.009108325,0.517387552,0.480205904,-0.202613376
-0.15044623,0.031234138,-0.177141158,-0.040796679
-0.044981979,-0.071926631,-0.292538425,-0.067335137
-0.171693018,0.085625771,0.420308011,-0.112682308
-0.019282171,-0.044203875,0.416466685,0.089862618
0.083090284,-0.336750097,-0.041489253,0.023567829
-0.058132711,-0.315176324,-0.324322482,0.037234697
0.060720628,-0.143472199,0.213969606,-0.093413117
-0.034081265,-0.026014164,-0.104488252,0.170204535
-0.040142108,-0.067309906,0.385359451,0.03476783
0.19452034,0.079936175,-0.278508062,0.027981448
-0.100735436,0.329773149,-0.05427293,0.030642688
0.030373181,0.011702926,0.240716891,-0.009107216
0.10750598,0.470030488,0.417511933,0.010245858
0.13333272,-0.175243819,-0.027621099,-0.115384743
-0.094175698,0.235069541,-0.26251955,-0.049496748
-0.208846257,-0.032562005,-0.210629397,-0.054682337
0.050663879,-0.096267936,-0.065462152,0.007092901
-0.085766847,-0.086891701,0.377707755,-0.027298809
0.053096056,-0.101863915,-0.302748574,0.098645708
0.258054746,-0.241817214,0.300615527,0.014524877
0.05547139,0.157105597,0.062716836,0.176300626
-0.077504059,-0.324377185,0.209093997,-0.178592077
0.141025867,0.068297918,-0.072898354,0.099176541
-0.065748977,-0.134786874,-0.020975933,-0.051536129
0.051165206,-0.000987039,0.887350348,-0.057624076
0.045725256,0.171094414,-0.428453593,-0.063827079
0.096216508,0.079636774,0.257114642,-0.022887495
0.118931167,0.047448612,0.388580852,-0.039877753
-0.016644122,0.059534392,0.010520531,-0.047122476
-0.165231248,-0.313513076,-0.692046463,-0.052851654
-0.12398909,0.060582724,-0.476665263,0.072886386
-0.081361382,-0.082788699,0.015839489,0.058962201
